"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310402023","Block Group 3, Census Tract 402.02, Cook County, Illinois","606","155","256","118","350","124",
"1500000US170310402024","Block Group 4, Census Tract 402.02, Cook County, Illinois","838","193","208","93","630","195",
"1500000US170310403001","Block Group 1, Census Tract 403, Cook County, Illinois","386","65","303","64","83","52",
"1500000US170310403002","Block Group 2, Census Tract 403, Cook County, Illinois","272","73","134","58","138","69",
"1500000US170310403003","Block Group 3, Census Tract 403, Cook County, Illinois","339","75","261","69","78","66",
"1500000US170310404011","Block Group 1, Census Tract 404.01, Cook County, Illinois","317","86","153","55","164","93",
"1500000US170310404012","Block Group 2, Census Tract 404.01, Cook County, Illinois","278","75","76","43","202","76",
"1500000US170310404013","Block Group 3, Census Tract 404.01, Cook County, Illinois","249","71","179","57","70","68",
"1500000US170310404014","Block Group 4, Census Tract 404.01, Cook County, Illinois","437","88","249","82","188","75",
"1500000US170310404021","Block Group 1, Census Tract 404.02, Cook County, Illinois","241","59","91","47","150","54",
"1500000US170310404022","Block Group 2, Census Tract 404.02, Cook County, Illinois","437","108","77","36","360","111",
"1500000US170310404023","Block Group 3, Census Tract 404.02, Cook County, Illinois","762","134","294","87","468","147",
"1500000US170310404024","Block Group 4, Census Tract 404.02, Cook County, Illinois","232","96","117","62","115","75",
"1500000US170310404025","Block Group 5, Census Tract 404.02, Cook County, Illinois","739","113","272","98","467","112",
"1500000US170310406001","Block Group 1, Census Tract 406, Cook County, Illinois","330","75","93","51","237","81",
"1500000US170310406002","Block Group 2, Census Tract 406, Cook County, Illinois","523","104","191","81","332","98",
"1500000US170310406003","Block Group 3, Census Tract 406, Cook County, Illinois","376","84","170","76","206","75",
"1500000US170310407001","Block Group 1, Census Tract 407, Cook County, Illinois","414","80","184","63","230","75",
"1500000US170310407002","Block Group 2, Census Tract 407, Cook County, Illinois","452","79","240","57","212","74",
"1500000US170310407003","Block Group 3, Census Tract 407, Cook County, Illinois","334","74","111","37","223","73",
"1500000US170310407004","Block Group 4, Census Tract 407, Cook County, Illinois","287","58","127","48","160","63",
"1500000US170310408001","Block Group 1, Census Tract 408, Cook County, Illinois","393","61","119","43","274","68",
"1500000US170310408002","Block Group 2, Census Tract 408, Cook County, Illinois","395","52","242","55","153","38",
"1500000US170310409001","Block Group 1, Census Tract 409, Cook County, Illinois","636","89","204","38","432","99",
"1500000US170310409002","Block Group 2, Census Tract 409, Cook County, Illinois","416","85","183","71","233","74",
"1500000US170310501001","Block Group 1, Census Tract 501, Cook County, Illinois","361","84","214","80","147","54",
"1500000US170310501002","Block Group 2, Census Tract 501, Cook County, Illinois","815","82","344","81","471","79",
"1500000US170310502001","Block Group 1, Census Tract 502, Cook County, Illinois","495","94","191","68","304","95",
"1500000US170310502002","Block Group 2, Census Tract 502, Cook County, Illinois","1020","169","460","114","560","163",
"1500000US170310502003","Block Group 3, Census Tract 502, Cook County, Illinois","789","140","497","115","292","102",
"1500000US170310503001","Block Group 1, Census Tract 503, Cook County, Illinois","424","74","185","62","239","79",
"1500000US170310503002","Block Group 2, Census Tract 503, Cook County, Illinois","337","72","178","61","159","80",
"1500000US170310503003","Block Group 3, Census Tract 503, Cook County, Illinois","364","65","189","67","175","74",
"1500000US170310505001","Block Group 1, Census Tract 505, Cook County, Illinois","381","117","234","120","147","74",
"1500000US170310505002","Block Group 2, Census Tract 505, Cook County, Illinois","613","117","257","89","356","114",
"1500000US170310505003","Block Group 3, Census Tract 505, Cook County, Illinois","349","84","144","82","205","85",
"1500000US170310505004","Block Group 4, Census Tract 505, Cook County, Illinois","426","105","298","109","128","60",
"1500000US170310505005","Block Group 5, Census Tract 505, Cook County, Illinois","403","120","122","65","281","112",
"1500000US170310506001","Block Group 1, Census Tract 506, Cook County, Illinois","577","94","243","78","334","97",
"1500000US170310506002","Block Group 2, Census Tract 506, Cook County, Illinois","513","79","203","71","310","92",
"1500000US170310507001","Block Group 1, Census Tract 507, Cook County, Illinois","722","33","474","60","248","53",
"1500000US170310508001","Block Group 1, Census Tract 508, Cook County, Illinois","551","53","325","56","226","55",
"1500000US170310509001","Block Group 1, Census Tract 509, Cook County, Illinois","665","47","313","71","352","75",
"1500000US170310510001","Block Group 1, Census Tract 510, Cook County, Illinois","699","52","336","55","363","65",
"1500000US170310511001","Block Group 1, Census Tract 511, Cook County, Illinois","724","44","283","62","441","69",
"1500000US170310512001","Block Group 1, Census Tract 512, Cook County, Illinois","311","71","81","30","230","67",
"1500000US170310512002","Block Group 2, Census Tract 512, Cook County, Illinois","374","61","232","59","142","59",
"1500000US170310513001","Block Group 1, Census Tract 513, Cook County, Illinois","486","88","278","67","208","83",
"1500000US170310513002","Block Group 2, Census Tract 513, Cook County, Illinois","608","84","340","95","268","99",
"1500000US170310514001","Block Group 1, Census Tract 514, Cook County, Illinois","589","106","346","90","243","83",
"1500000US170310514002","Block Group 2, Census Tract 514, Cook County, Illinois","382","63","219","62","163","69",
"1500000US170310601001","Block Group 1, Census Tract 601, Cook County, Illinois","345","73","160","51","185","63",
"1500000US170310601002","Block Group 2, Census Tract 601, Cook County, Illinois","544","93","372","95","172","64",
"1500000US170310601003","Block Group 3, Census Tract 601, Cook County, Illinois","336","62","126","41","210","61",
"1500000US170310602001","Block Group 1, Census Tract 602, Cook County, Illinois","605","74","187","47","418","84",
"1500000US170310602002","Block Group 2, Census Tract 602, Cook County, Illinois","455","74","147","41","308","72",
"1500000US170310603001","Block Group 1, Census Tract 603, Cook County, Illinois","747","113","452","121","295","107",
"1500000US170310603002","Block Group 2, Census Tract 603, Cook County, Illinois","524","101","211","69","313","97",
"1500000US170310604001","Block Group 1, Census Tract 604, Cook County, Illinois","742","104","294","69","448","103",
"1500000US170310604002","Block Group 2, Census Tract 604, Cook County, Illinois","426","88","218","69","208","81",
"1500000US170310604003","Block Group 3, Census Tract 604, Cook County, Illinois","392","77","249","67","143","43",
"1500000US170310605001","Block Group 1, Census Tract 605, Cook County, Illinois","694","66","128","44","566","69",
"1500000US170310608001","Block Group 1, Census Tract 608, Cook County, Illinois","869","158","430","115","439","121",
"1500000US170310608002","Block Group 2, Census Tract 608, Cook County, Illinois","0","11","0","11","0","11",
"1500000US170310608003","Block Group 3, Census Tract 608, Cook County, Illinois","2227","190","1220","201","1007","208",
"1500000US170310609001","Block Group 1, Census Tract 609, Cook County, Illinois","624","142","115","74","509","134",
"1500000US170310609002","Block Group 2, Census Tract 609, Cook County, Illinois","0","11","0","11","0","11",
"1500000US170310609003","Block Group 3, Census Tract 609, Cook County, Illinois","876","194","402","137","474","146",
"1500000US170310609004","Block Group 4, Census Tract 609, Cook County, Illinois","2494","268","1174","219","1320","284",
"1500000US170310609005","Block Group 5, Census Tract 609, Cook County, Illinois","401","159","25","39","376","155",
"1500000US170310610001","Block Group 1, Census Tract 610, Cook County, Illinois","837","57","288","69","549","74",
"1500000US170310611001","Block Group 1, Census Tract 611, Cook County, Illinois","578","81","193","47","385","70",
"1500000US170310612001","Block Group 1, Census Tract 612, Cook County, Illinois","921","39","308","66","613","59",
"1500000US170310615001","Block Group 1, Census Tract 615, Cook County, Illinois","840","53","262","58","578","73",
"1500000US170310618001","Block Group 1, Census Tract 618, Cook County, Illinois","693","51","120","45","573","59",
"1500000US170310619011","Block Group 1, Census Tract 619.01, Cook County, Illinois","458","133","166","76","292","122",
"1500000US170310619012","Block Group 2, Census Tract 619.01, Cook County, Illinois","667","174","239","126","428","136",
"1500000US170310619013","Block Group 3, Census Tract 619.01, Cook County, Illinois","517","134","174","83","343","119",
"1500000US170310619014","Block Group 4, Census Tract 619.01, Cook County, Illinois","749","207","145","90","604","208",
"1500000US170310619021","Block Group 1, Census Tract 619.02, Cook County, Illinois","671","142","245","77","426","132",
"1500000US170310619022","Block Group 2, Census Tract 619.02, Cook County, Illinois","1106","171","199","64","907","176",
"1500000US170310619023","Block Group 3, Census Tract 619.02, Cook County, Illinois","1042","175","302","95","740","162",
"1500000US170310619024","Block Group 4, Census Tract 619.02, Cook County, Illinois","0","11","0","11","0","11",
"1500000US170310620001","Block Group 1, Census Tract 620, Cook County, Illinois","964","97","320","68","644","102",
"1500000US170310620002","Block Group 2, Census Tract 620, Cook County, Illinois","552","71","95","40","457","79",
"1500000US170310621001","Block Group 1, Census Tract 621, Cook County, Illinois","418","88","208","77","210","82",
"1500000US170310621002","Block Group 2, Census Tract 621, Cook County, Illinois","399","98","92","48","307","94",
"1500000US170310621003","Block Group 3, Census Tract 621, Cook County, Illinois","759","120","288","78","471","105",
"1500000US170310622001","Block Group 1, Census Tract 622, Cook County, Illinois","680","97","227","73","453","102",
"1500000US170310622002","Block Group 2, Census Tract 622, Cook County, Illinois","701","100","389","95","312","99",
"1500000US170310623001","Block Group 1, Census Tract 623, Cook County, Illinois","731","36","319","60","412","65",
"1500000US170310624001","Block Group 1, Census Tract 624, Cook County, Illinois","748","70","323","70","425","90",
"1500000US170310625001","Block Group 1, Census Tract 625, Cook County, Illinois","631","66","290","69","341","63",
"1500000US170310626001","Block Group 1, Census Tract 626, Cook County, Illinois","966","51","581","68","385","73",
